id,waktu,isp_name,status,ping_ms,download_mbps,upload_mbps
10913,2026-05-23 01:10:27,Linknet,Tidak Ada Gangguan pada Jaringan,15.68,0.0,0.0
10914,2026-05-23 01:10:49,Linknet,SPEEDTEST,12.25,92.33,107.67
10915,2026-05-23 01:15:49,Linknet,SPEEDTEST,12.68,94.13,108.24
10916,2026-05-23 01:20:51,Linknet,SPEEDTEST,12.38,14.67,106.37
10917,2026-05-23 01:25:53,Linknet,SPEEDTEST,11.11,94.64,111.07
10918,2026-05-23 01:30:58,Linknet,SPEEDTEST,13.03,93.29,5.29
10919,2026-05-23 01:36:00,Linknet,SPEEDTEST,13.88,94.24,108.49
10920,2026-05-23 01:41:05,Linknet,SPEEDTEST,15.73,94.43,105.99
10921,2026-05-23 01:46:06,Linknet,SPEEDTEST,11.64,97.59,105.2
10922,2026-05-23 01:49:02,Linknet,Router Internal Bermasalah,0.0,0.0,0.0
10923,2026-05-23 01:49:07,Linknet,Tidak Ada Gangguan pada Jaringan,15.55,0.0,0.0
10924,2026-05-23 01:51:06,Linknet,SPEEDTEST,12.14,97.75,103.85
10925,2026-05-23 01:56:10,Linknet,SPEEDTEST,12.51,86.4,106.98
10926,2026-05-23 02:05:47,Linknet,SPEEDTEST,15.18,81.84,99.15
10927,2026-05-23 02:10:37,Linknet,SPEEDTEST,14.9,77.27,17.19
10928,2026-05-23 02:15:37,Linknet,SPEEDTEST,16.99,98.73,99.75
10929,2026-05-23 02:20:40,Linknet,SPEEDTEST,14.59,90.85,42.59
10930,2026-05-23 02:25:53,Linknet,SPEEDTEST,12.26,98.33,46.1
10931,2026-05-23 02:30:46,Linknet,SPEEDTEST,14.09,98.06,98.33
10932,2026-05-23 02:35:48,Linknet,SPEEDTEST,14.22,86.86,7.28
10933,2026-05-23 02:40:47,Linknet,SPEEDTEST,15.13,90.11,105.88
10934,2026-05-23 02:45:53,Linknet,SPEEDTEST,14.1,96.89,106.45
10935,2026-05-23 02:51:04,Linknet,SPEEDTEST,16.35,94.0,103.63
10936,2026-05-23 02:55:58,Linknet,SPEEDTEST,15.89,11.16,106.6
10937,2026-05-23 03:05:26,Linknet,SPEEDTEST,12.88,96.2,53.12
10938,2026-05-23 03:10:38,Linknet,SPEEDTEST,22.43,94.26,107.87
10939,2026-05-23 03:15:33,Linknet,SPEEDTEST,14.77,98.3,107.55
10940,2026-05-23 03:20:39,Linknet,SPEEDTEST,16.0,97.22,52.52
10941,2026-05-23 03:25:41,Linknet,SPEEDTEST,12.41,88.07,106.21
10942,2026-05-23 03:30:42,Linknet,SPEEDTEST,17.17,95.68,106.39
10943,2026-05-23 03:35:48,Linknet,SPEEDTEST,13.54,97.35,7.74
10944,2026-05-23 03:40:49,Linknet,SPEEDTEST,13.85,68.15,107.36
10945,2026-05-23 03:45:50,Linknet,SPEEDTEST,11.71,97.12,97.57
10946,2026-05-23 03:50:56,Linknet,SPEEDTEST,23.39,98.51,108.7
10947,2026-05-23 03:56:00,Linknet,SPEEDTEST,12.2,69.29,107.27
10948,2026-05-23 04:05:32,Linknet,SPEEDTEST,14.68,68.48,2.36
10949,2026-05-23 04:10:35,Linknet,SPEEDTEST,17.25,73.3,104.19
10950,2026-05-23 04:15:37,Linknet,SPEEDTEST,14.74,94.01,2.93
10951,2026-05-23 04:20:39,Linknet,SPEEDTEST,14.87,92.46,7.29
10952,2026-05-23 04:25:42,Linknet,SPEEDTEST,12.47,93.97,105.38
10953,2026-05-23 04:30:48,Linknet,SPEEDTEST,14.78,92.67,40.43
10954,2026-05-23 04:35:52,Linknet,SPEEDTEST,15.56,64.25,106.88
10955,2026-05-23 04:40:50,Linknet,SPEEDTEST,11.96,100.13,107.29
10956,2026-05-23 04:45:53,Linknet,SPEEDTEST,13.43,95.79,107.36
10957,2026-05-23 04:50:56,Linknet,SPEEDTEST,13.54,97.16,107.08
10958,2026-05-23 04:53:21,Linknet,Router Internal Bermasalah,0.0,0.0,0.0
10959,2026-05-23 04:53:26,Linknet,Tidak Ada Gangguan pada Jaringan,15.59,0.0,0.0
10960,2026-05-23 04:56:00,Linknet,SPEEDTEST,14.41,98.71,108.17
10961,2026-05-23 05:05:29,Linknet,SPEEDTEST,13.41,96.26,107.31
10962,2026-05-23 05:10:35,Linknet,SPEEDTEST,12.84,97.61,4.65
10963,2026-05-23 05:15:38,Linknet,SPEEDTEST,12.9,97.55,106.51
10964,2026-05-23 05:20:04,Linknet,Router Internal Bermasalah,0.0,0.0,0.0
10965,2026-05-23 05:20:09,Linknet,Tidak Ada Gangguan pada Jaringan,15.65,0.0,0.0
10966,2026-05-23 05:20:41,Linknet,SPEEDTEST,16.77,97.16,90.45
10967,2026-05-23 05:24:37,Linknet,Gangguan ISP Gedung,6.75,0.0,0.0
10968,2026-05-23 05:24:42,Linknet,Tidak Ada Gangguan pada Jaringan,15.7,0.0,0.0
10969,2026-05-23 05:25:01,Linknet,Akses Internet ke Luar Terganggu,2.28,0.0,0.0
10970,2026-05-23 05:25:06,Linknet,Tidak Ada Gangguan pada Jaringan,15.55,0.0,0.0
10971,2026-05-23 05:25:47,Linknet,SPEEDTEST,17.32,95.48,109.01
10972,2026-05-23 05:30:51,Linknet,SPEEDTEST,14.4,78.54,66.14
10973,2026-05-23 05:35:55,Linknet,SPEEDTEST,13.95,95.07,107.06
10974,2026-05-23 05:40:57,Linknet,SPEEDTEST,16.56,95.57,107.0
10975,2026-05-23 05:45:58,Linknet,SPEEDTEST,15.66,96.26,106.3
10976,2026-05-23 05:51:00,Linknet,SPEEDTEST,17.22,97.25,107.01
10977,2026-05-23 05:56:07,Linknet,SPEEDTEST,14.97,94.88,61.72
10978,2026-05-23 06:04:21,Linknet,SPEEDTEST,16.71,19.88,106.22
10979,2026-05-23 06:09:35,Linknet,SPEEDTEST,13.4,95.84,56.3
10980,2026-05-23 06:14:26,Linknet,SPEEDTEST,15.84,94.74,106.25
10981,2026-05-23 06:19:30,Linknet,SPEEDTEST,15.99,96.86,107.34
10982,2026-05-23 06:24:38,Linknet,SPEEDTEST,13.95,98.31,106.21
10983,2026-05-23 06:29:38,Linknet,SPEEDTEST,17.13,91.54,63.35
10984,2026-05-23 06:34:44,Linknet,SPEEDTEST,14.94,93.2,107.36
10985,2026-05-23 06:39:46,Linknet,SPEEDTEST,14.04,97.32,105.4
10986,2026-05-23 06:44:47,Linknet,SPEEDTEST,18.44,98.82,106.6
10987,2026-05-23 06:50:01,Linknet,SPEEDTEST,19.01,94.64,107.53
10988,2026-05-23 06:54:54,Linknet,SPEEDTEST,13.13,96.28,106.88
10989,2026-05-23 06:59:57,Linknet,SPEEDTEST,12.94,98.52,57.18
10990,2026-05-23 07:05:30,Linknet,SPEEDTEST,13.95,96.3,71.39
10991,2026-05-23 07:10:32,Linknet,SPEEDTEST,16.14,96.23,106.97
10992,2026-05-23 07:15:36,Linknet,SPEEDTEST,14.98,93.75,109.29
10993,2026-05-23 07:20:36,Linknet,SPEEDTEST,14.19,81.94,106.22
10994,2026-05-23 07:25:42,Linknet,SPEEDTEST,14.93,96.66,107.13
10995,2026-05-23 07:30:47,Linknet,SPEEDTEST,12.61,96.23,105.57
10996,2026-05-23 07:35:47,Linknet,SPEEDTEST,16.21,97.73,107.82
10997,2026-05-23 07:40:50,Linknet,SPEEDTEST,12.76,98.47,106.66
10998,2026-05-23 07:45:53,Linknet,SPEEDTEST,11.6,92.27,104.67
10999,2026-05-23 07:50:54,Linknet,SPEEDTEST,13.34,96.93,106.18
11000,2026-05-23 07:56:07,Linknet,SPEEDTEST,13.01,93.43,106.85
11001,2026-05-23 08:05:26,Linknet,SPEEDTEST,13.32,92.71,100.41
11002,2026-05-23 08:06:36,Linknet,Router Internal Bermasalah,0.0,0.0,0.0
11003,2026-05-23 08:06:41,Linknet,Tidak Ada Gangguan pada Jaringan,15.95,0.0,0.0
11004,2026-05-23 08:10:28,Linknet,SPEEDTEST,12.63,88.05,55.76
11005,2026-05-23 08:15:29,Linknet,SPEEDTEST,12.79,85.46,104.79
11006,2026-05-23 08:20:33,Linknet,SPEEDTEST,13.43,94.51,55.34
11007,2026-05-23 08:25:37,Linknet,SPEEDTEST,18.54,94.56,106.39
11008,2026-05-23 08:30:38,Linknet,SPEEDTEST,12.11,99.83,106.4
11009,2026-05-23 08:35:42,Linknet,SPEEDTEST,13.44,99.88,106.12
11010,2026-05-23 08:40:45,Linknet,SPEEDTEST,16.17,97.27,107.04
11011,2026-05-23 08:45:45,Linknet,SPEEDTEST,17.96,94.94,8.91
11012,2026-05-23 08:50:46,Linknet,SPEEDTEST,14.15,91.3,105.66
11013,2026-05-23 08:53:07,Linknet,Akses Internet ke Luar Terganggu,3.53,0.0,0.0
11014,2026-05-23 08:53:12,Linknet,Tidak Ada Gangguan pada Jaringan,15.93,0.0,0.0
11015,2026-05-23 08:55:46,Linknet,SPEEDTEST,13.25,90.25,105.9
11016,2026-05-23 09:05:27,Linknet,SPEEDTEST,13.41,86.18,66.56
11017,2026-05-23 09:10:31,Linknet,SPEEDTEST,14.27,90.51,107.28
11018,2026-05-23 09:15:36,Linknet,SPEEDTEST,13.39,95.13,62.35
11019,2026-05-23 09:20:38,Linknet,SPEEDTEST,13.93,94.57,105.49
11020,2026-05-23 09:25:42,Linknet,SPEEDTEST,14.38,93.55,107.06
11021,2026-05-23 09:30:45,Linknet,SPEEDTEST,12.64,98.17,105.42
11022,2026-05-23 09:35:57,Linknet,SPEEDTEST,16.21,93.83,59.53
11023,2026-05-23 09:40:49,Linknet,SPEEDTEST,10.68,94.45,106.48
11024,2026-05-23 09:42:52,Linknet,Router Internal Bermasalah,0.0,0.0,0.0
11025,2026-05-23 09:42:57,Linknet,Tidak Ada Gangguan pada Jaringan,15.93,0.0,0.0
11026,2026-05-23 09:45:54,Linknet,SPEEDTEST,12.73,95.75,104.64
11027,2026-05-23 09:51:16,Linknet,SPEEDTEST,17.32,93.53,105.82
11028,2026-05-23 09:56:18,Linknet,SPEEDTEST,13.17,95.92,3.39
11029,2026-05-23 10:05:50,Linknet,SPEEDTEST,15.04,95.67,105.2
11030,2026-05-23 10:10:56,Linknet,SPEEDTEST,13.3,93.85,53.73
11031,2026-05-23 10:15:55,Linknet,SPEEDTEST,13.25,94.58,106.38
11032,2026-05-23 10:21:09,Linknet,SPEEDTEST,17.22,99.35,104.39
11033,2026-05-23 10:26:28,Linknet,SPEEDTEST,15.8,95.79,107.12
11034,2026-05-23 10:30:32,Linknet,Gangguan ISP Gedung,7.94,0.0,0.0
11035,2026-05-23 10:30:37,Linknet,Tidak Ada Gangguan pada Jaringan,18.04,0.0,0.0
11036,2026-05-23 10:31:20,Linknet,SPEEDTEST,18.13,78.87,107.17
11037,2026-05-23 10:36:45,Linknet,SPEEDTEST,13.43,94.75,107.41
11038,2026-05-23 10:41:04,Linknet,SPEEDTEST,12.1,91.34,98.99
11039,2026-05-23 10:46:12,Linknet,SPEEDTEST,30.83,95.05,106.52
11040,2026-05-23 10:51:08,Linknet,SPEEDTEST,16.39,87.66,94.67
11041,2026-05-23 10:56:10,Linknet,SPEEDTEST,15.68,97.3,105.39
11042,2026-05-23 11:05:34,Linknet,SPEEDTEST,19.07,89.08,89.27
11043,2026-05-23 11:08:25,Linknet,Router Internal Bermasalah,0.0,0.0,0.0
11044,2026-05-23 11:08:30,Linknet,Tidak Ada Gangguan pada Jaringan,16.68,0.0,0.0
11045,2026-05-23 11:10:33,Linknet,SPEEDTEST,15.79,94.67,87.4
11046,2026-05-23 11:15:39,Linknet,SPEEDTEST,26.7,51.47,87.25
11047,2026-05-23 11:20:40,Linknet,SPEEDTEST,25.98,95.85,95.79
11048,2026-05-23 11:25:43,Linknet,SPEEDTEST,29.93,96.08,90.72
11049,2026-05-23 11:30:54,Linknet,SPEEDTEST,36.73,98.39,106.64
11050,2026-05-23 11:35:48,Linknet,SPEEDTEST,16.92,90.39,100.75
11051,2026-05-23 11:40:57,Linknet,SPEEDTEST,15.85,93.83,106.26
11052,2026-05-23 11:46:00,Linknet,SPEEDTEST,43.23,67.03,1.23
11053,2026-05-23 11:51:08,Linknet,SPEEDTEST,15.3,96.39,102.38
11054,2026-05-23 11:56:03,Linknet,SPEEDTEST,32.99,93.0,98.91
11055,2026-05-23 11:56:42,Linknet,Router Internal Bermasalah,0.0,0.0,0.0
11056,2026-05-23 11:56:47,Linknet,Tidak Ada Gangguan pada Jaringan,15.42,0.0,0.0
11057,2026-05-23 12:00:28,Linknet,Gangguan ISP Gedung,6.23,0.0,0.0
11058,2026-05-23 12:00:33,Linknet,Tidak Ada Gangguan pada Jaringan,15.46,0.0,0.0
11059,2026-05-23 12:05:41,Linknet,SPEEDTEST,25.76,47.99,96.91
11060,2026-05-23 12:10:32,Linknet,SPEEDTEST,17.57,92.97,98.33
11061,2026-05-23 12:12:47,Linknet,Router Internal Bermasalah,0.0,0.0,0.0
11062,2026-05-23 12:12:52,Linknet,Tidak Ada Gangguan pada Jaringan,17.78,0.0,0.0
11063,2026-05-23 12:15:39,Linknet,SPEEDTEST,17.57,94.14,99.11
11064,2026-05-23 12:20:39,Linknet,SPEEDTEST,28.99,98.29,104.89
11065,2026-05-23 12:25:42,Linknet,SPEEDTEST,30.03,95.09,103.5
11066,2026-05-23 12:30:45,Linknet,SPEEDTEST,14.58,98.08,105.31
11067,2026-05-23 12:35:46,Linknet,SPEEDTEST,30.23,95.24,96.39
11068,2026-05-23 12:40:46,Linknet,SPEEDTEST,28.2,96.83,105.2
11069,2026-05-23 12:45:50,Linknet,SPEEDTEST,28.15,96.6,105.85
11070,2026-05-23 12:50:57,Linknet,SPEEDTEST,16.25,96.39,89.31
11071,2026-05-23 12:55:57,Linknet,SPEEDTEST,13.07,90.78,100.64
11072,2026-05-23 13:05:32,Linknet,SPEEDTEST,14.05,92.18,94.58
11073,2026-05-23 13:05:56,Linknet,Router Internal Bermasalah,0.0,0.0,0.0
11074,2026-05-23 13:06:01,Linknet,Tidak Ada Gangguan pada Jaringan,15.76,0.0,0.0
11075,2026-05-23 13:10:33,Linknet,SPEEDTEST,15.2,87.83,93.67
11076,2026-05-23 13:15:36,Linknet,SPEEDTEST,16.73,96.76,96.16
11077,2026-05-23 13:20:35,Linknet,SPEEDTEST,38.51,94.58,97.73
11078,2026-05-23 13:25:43,Linknet,SPEEDTEST,26.98,65.04,73.14
11079,2026-05-23 13:27:18,Linknet,Router Internal Bermasalah,0.0,0.0,0.0
11080,2026-05-23 13:27:23,Linknet,Tidak Ada Gangguan pada Jaringan,16.42,0.0,0.0
11081,2026-05-23 13:29:14,Linknet,Akses Internet ke Luar Terganggu,7.53,0.0,0.0
11082,2026-05-23 13:29:19,Linknet,Tidak Ada Gangguan pada Jaringan,15.68,0.0,0.0
11083,2026-05-23 13:30:44,Linknet,SPEEDTEST,29.26,89.21,106.91
11084,2026-05-23 13:32:33,Linknet,Router Internal Bermasalah,0.0,0.0,0.0
11085,2026-05-23 13:32:38,Linknet,Tidak Ada Gangguan pada Jaringan,15.53,0.0,0.0
11086,2026-05-23 13:35:50,Linknet,SPEEDTEST,17.41,87.73,105.91
11087,2026-05-23 13:40:58,Linknet,SPEEDTEST,17.62,95.66,106.37
11088,2026-05-23 13:45:48,Linknet,SPEEDTEST,16.04,95.21,7.32
11089,2026-05-23 13:50:49,Linknet,SPEEDTEST,12.97,94.69,106.03
11090,2026-05-23 13:55:51,Linknet,SPEEDTEST,14.63,98.44,107.75
11091,2026-05-23 14:05:28,Linknet,SPEEDTEST,13.56,96.8,107.5
11092,2026-05-23 14:10:30,Linknet,SPEEDTEST,15.08,95.36,107.18
11093,2026-05-23 14:15:31,Linknet,SPEEDTEST,16.71,95.8,104.93
11094,2026-05-23 14:20:53,Linknet,SPEEDTEST,12.24,93.89,74.92
11095,2026-05-23 14:25:38,Linknet,SPEEDTEST,16.14,64.67,106.73
11096,2026-05-23 14:30:38,Linknet,SPEEDTEST,18.13,94.26,107.99
11097,2026-05-23 14:35:44,Linknet,SPEEDTEST,15.27,70.82,12.13
11098,2026-05-23 14:40:43,Linknet,SPEEDTEST,16.34,96.44,106.89
11099,2026-05-23 14:45:48,Linknet,SPEEDTEST,14.69,95.77,107.44
11100,2026-05-23 14:50:53,Linknet,SPEEDTEST,17.78,94.44,106.18
11101,2026-05-23 14:52:33,Linknet,Router Internal Bermasalah,0.0,0.0,0.0
11102,2026-05-23 14:52:38,Linknet,Tidak Ada Gangguan pada Jaringan,15.7,0.0,0.0
11103,2026-05-23 14:55:56,Linknet,SPEEDTEST,16.46,95.18,106.94
11104,2026-05-23 15:05:29,Linknet,SPEEDTEST,15.31,95.31,107.22
11105,2026-05-23 15:10:33,Linknet,SPEEDTEST,17.26,4.47,107.83
11106,2026-05-23 15:15:43,Linknet,SPEEDTEST,14.77,97.02,106.01
11107,2026-05-23 15:20:45,Linknet,SPEEDTEST,17.44,95.33,106.27
11108,2026-05-23 15:25:40,Linknet,SPEEDTEST,17.06,97.7,106.28
11109,2026-05-23 15:30:39,Linknet,SPEEDTEST,12.52,95.21,96.85
11110,2026-05-23 15:35:44,Linknet,SPEEDTEST,17.07,99.43,105.69
11111,2026-05-23 15:40:30,Linknet,Router Internal Bermasalah,0.0,0.0,0.0
11112,2026-05-23 15:40:36,Linknet,Tidak Ada Gangguan pada Jaringan,15.51,0.0,0.0
11113,2026-05-23 15:40:57,Linknet,SPEEDTEST,12.14,93.88,101.02
11114,2026-05-23 15:46:00,Linknet,SPEEDTEST,16.54,25.79,50.94
11115,2026-05-23 15:51:03,Linknet,SPEEDTEST,12.3,94.39,7.27
11116,2026-05-23 15:56:05,Linknet,SPEEDTEST,14.29,97.42,108.02
11117,2026-05-23 16:05:27,Linknet,SPEEDTEST,17.57,94.99,106.08
11118,2026-05-23 16:10:28,Linknet,SPEEDTEST,13.5,96.31,107.96
11119,2026-05-23 16:15:28,Linknet,SPEEDTEST,13.14,94.56,12.37
11120,2026-05-23 16:20:30,Linknet,SPEEDTEST,13.28,96.28,106.7
11121,2026-05-23 16:25:33,Linknet,SPEEDTEST,16.17,94.86,92.29
11122,2026-05-23 16:30:37,Linknet,SPEEDTEST,11.78,95.21,107.35
11123,2026-05-23 16:32:25,Linknet,Akses Internet ke Luar Terganggu,2.39,0.0,0.0
11124,2026-05-23 16:32:33,Linknet,Tidak Ada Gangguan pada Jaringan,20.34,0.0,0.0
11125,2026-05-23 16:35:38,Linknet,SPEEDTEST,12.16,97.05,3.34
11126,2026-05-23 16:40:43,Linknet,SPEEDTEST,21.2,97.75,106.77
11127,2026-05-23 16:45:47,Linknet,SPEEDTEST,19.38,97.13,106.51
11128,2026-05-23 16:50:48,Linknet,SPEEDTEST,19.54,98.47,104.21
11129,2026-05-23 16:55:53,Linknet,SPEEDTEST,20.16,96.65,105.88
11130,2026-05-23 16:58:28,Linknet,Akses Internet ke Luar Terganggu,2.29,0.0,0.0
11131,2026-05-23 16:58:33,Linknet,Tidak Ada Gangguan pada Jaringan,15.45,0.0,0.0
11132,2026-05-23 17:00:55,Linknet,Akses Internet ke Luar Terganggu,2.56,0.0,0.0
11133,2026-05-23 17:01:00,Linknet,Tidak Ada Gangguan pada Jaringan,15.57,0.0,0.0
11134,2026-05-23 17:02:22,Linknet,Akses Internet ke Luar Terganggu,2.31,0.0,0.0
11135,2026-05-23 17:02:27,Linknet,Tidak Ada Gangguan pada Jaringan,15.61,0.0,0.0
11136,2026-05-23 17:03:47,Linknet,Akses Internet ke Luar Terganggu,2.51,0.0,0.0
11137,2026-05-23 17:03:52,Linknet,Tidak Ada Gangguan pada Jaringan,15.64,0.0,0.0
11138,2026-05-23 17:05:33,Linknet,SPEEDTEST,21.29,97.07,103.02
11139,2026-05-23 17:05:57,Linknet,Gangguan ISP Gedung,7.04,0.0,0.0
11140,2026-05-23 17:06:02,Linknet,Tidak Ada Gangguan pada Jaringan,18.58,0.0,0.0
11141,2026-05-23 17:07:15,Linknet,Akses Internet ke Luar Terganggu,2.19,0.0,0.0
11142,2026-05-23 17:07:20,Linknet,Tidak Ada Gangguan pada Jaringan,15.56,0.0,0.0
11143,2026-05-23 17:10:36,Linknet,SPEEDTEST,21.08,97.59,105.09
11144,2026-05-23 17:11:56,Linknet,Akses Internet ke Luar Terganggu,2.36,0.0,0.0
11145,2026-05-23 17:12:01,Linknet,Tidak Ada Gangguan pada Jaringan,15.65,0.0,0.0
11146,2026-05-23 17:15:40,Linknet,SPEEDTEST,17.4,96.81,107.72
11147,2026-05-23 17:20:42,Linknet,SPEEDTEST,19.31,94.76,107.09
11148,2026-05-23 17:25:49,Linknet,SPEEDTEST,13.25,95.77,61.83
11149,2026-05-23 17:30:52,Linknet,SPEEDTEST,16.13,96.5,103.4
11150,2026-05-23 17:35:56,Linknet,SPEEDTEST,28.91,95.76,5.4
11151,2026-05-23 17:40:59,Linknet,SPEEDTEST,45.05,96.13,108.58
11152,2026-05-23 17:46:03,Linknet,SPEEDTEST,17.63,96.63,108.36
11153,2026-05-23 17:51:03,Linknet,SPEEDTEST,18.49,98.37,104.65
11154,2026-05-23 17:56:03,Linknet,SPEEDTEST,20.09,97.16,105.93
11155,2026-05-23 18:05:31,Linknet,SPEEDTEST,20.08,97.72,104.58
11156,2026-05-23 18:10:32,Linknet,SPEEDTEST,18.28,95.78,108.42
11157,2026-05-23 18:15:37,Linknet,SPEEDTEST,17.99,73.25,104.72
11158,2026-05-23 18:20:41,Linknet,SPEEDTEST,20.52,91.72,13.01
11159,2026-05-23 18:25:43,Linknet,SPEEDTEST,20.4,94.29,105.61
11160,2026-05-23 18:30:51,Linknet,SPEEDTEST,21.95,96.66,103.17
11161,2026-05-23 18:35:48,Linknet,SPEEDTEST,20.69,93.18,108.06
11162,2026-05-23 18:40:51,Linknet,SPEEDTEST,20.67,97.05,104.43
11163,2026-05-23 18:45:55,Linknet,SPEEDTEST,16.61,95.46,98.79
11164,2026-05-23 18:50:54,Linknet,SPEEDTEST,14.38,92.47,107.5
11165,2026-05-23 18:55:56,Linknet,SPEEDTEST,17.05,92.96,114.13
11166,2026-05-23 19:05:31,Linknet,SPEEDTEST,17.0,100.06,16.6
11167,2026-05-23 19:09:07,Linknet,Router Internal Bermasalah,0.0,0.0,0.0
11168,2026-05-23 19:09:12,Linknet,Tidak Ada Gangguan pada Jaringan,15.68,0.0,0.0
11169,2026-05-23 19:10:35,Linknet,SPEEDTEST,21.65,98.31,104.66
11170,2026-05-23 19:14:31,Linknet,Router Internal Bermasalah,0.0,0.0,0.0
11171,2026-05-23 19:14:36,Linknet,Tidak Ada Gangguan pada Jaringan,15.66,0.0,0.0
11172,2026-05-23 19:15:39,Linknet,SPEEDTEST,20.73,94.11,107.28
11173,2026-05-23 19:20:42,Linknet,SPEEDTEST,20.89,96.55,103.58
11174,2026-05-23 19:25:44,Linknet,SPEEDTEST,17.4,98.71,109.42
